id,type,name,distance,moving_time,elapsed_time,total_elevation_gain,start_date,start_date_local,start_latlng,kilojoules,average_heartrate,max_heartrate,elev_high,elev_low,average_speed,max_speed,location_city,location_state,location_country,timezone,summary_polyline
9973722070,Workout,Water Sports,0.0,2401,2401,0.0,2023-08-27 15:59:49+00:00,2023-08-27T11:59:49Z,[],,96.5,126.0,0.0,0.0,0.0,0.0,,,,(GMT-04:00) America/Anguilla,
9973722078,Workout,Water Sports,0.0,2433,2433,0.0,2023-08-25 11:42:57+00:00,2023-08-25T07:42:57Z,[],,86.3,115.0,0.0,0.0,0.0,0.0,,,,(GMT-04:00) America/Anguilla,
9973722094,Run,The Beaches - Leslieville,10003.4,3484,3492,11.2,2023-08-24 11:22:26+00:00,2023-08-24T07:22:26Z,"[43.6707164067775, -79.28275586105883]",,169.3,190.0,81.8,76.0,2.871,5.257,,,,(GMT-05:00) America/Toronto,}lpiGf|{bNFHIR@ZNp@Xn@HTj@nEXbBVnB`A~EBXf@|C^fBHXTj@Np@r@pDPjAf@`CHr@p@rDZlAPl@n@zCl@tBb@dB`AbDpB`IXdBp@~HRjAj@zEh@xCxBhOPr@x@tBpAtFRl@l@tALRb@dAjAdCLRp@vALPRLnAzB^`@pAfAhAj@t@f@z@^PDRBRDh@Bf@Cv@KHZ?ZNn@BZq@xAa@dBAXGX[`@a@^[b@EV[r@ONk@AQOc@cAOOSCe@\SHONKTCXHr@Lt@Ft@AVIt@Ur@e@fA?XNdB`@tCRjBNn@Tj@JhBPnAhBjNl@tDl@vEXhALRRp@VdBJX`@xCRfB\dBDnAb@dBNfBFVHTPHf@JLPPBd@Kd@Ut@g@tC_CbAq@dAk@f@QhAw@zC_Cp@k@RMtAgA`D{BbAw@mAr@ONUJu@l@aD|BwC~Bc@VONSJq@n@qAp@SBSJmBrAMNmBpAa@\w@b@eAr@SE[gB[aDYgAGqAc@gCgAyHIYE[e@gAUqAuAmJc@mDOw@y@wG[qASq@Iw@C}@Oy@_@mD]oCDY\g@JYPq@BYB[Cy@SmAEu@F]PMRKJWKUIYCYF]JUDYPQh@APMNUDy@?{ALw@Po@C]IWcC{Ag@S_BoBi@cAs@q@e@eAw@wAm@}A[i@_AsBQw@KUYuAy@}CWu@i@gAI[A]G]i@kE]mBaAmGeAeII]c@kGc@oCe@mBMWE]g@mBc@iAOy@_@sAG]MYqAkFi@gBWwAI[_@uBQy@SsAy@eEWwACW[mAOW{@kEWsASmBa@sAKQ}@}FEs@Qw@g@Te@FQHITFZRtADx@AZD`@A{A[sCDYR@
9973722119,WeightTraining,Traditional Strength Training,0.0,2668,2668,0.0,2023-08-23 05:29:32+00:00,2023-08-23T06:29:32Z,[],,108.6,157.0,0.0,0.0,0.0,0.0,,,,(GMT+01:00) Africa/Algiers,
9973722127,WeightTraining,Traditional Strength Training,0.0,3135,3135,0.0,2023-08-22 06:38:40+00:00,2023-08-22T07:38:40Z,[],,132.5,186.0,0.0,0.0,0.0,0.0,,,,(GMT+01:00) Africa/Algiers,
9973722115,Run,Monday Morning Run,4000.0,1504,1504,0.0,2023-08-21 06:18:31+00:00,2023-08-20T23:18:31Z,[],,,,0.0,0.0,2.66,2.66,,,,(GMT-08:00) America/Los_Angeles,
9973722149,WeightTraining,Traditional Strength Training,0.0,2903,2903,0.0,2023-08-21 05:29:34+00:00,2023-08-21T06:29:34Z,[],,100.3,144.0,0.0,0.0,0.0,0.0,,,,(GMT+01:00) Africa/Algiers,
9973722255,Walk,Amersham on the Hill,3243.2,2072,2072,17.0,2023-08-20 16:13:50+00:00,2023-08-20T17:13:50Z,"[51.6758865583688, -0.6075704656541348]",,92.5,103.0,156.8,147.4,1.565,2.238,,,,(GMT+00:00) Europe/London,g}kzHjtuBEK[Me@@WH}@CU@MAYi@a@m@Ym@i@[oAuAIMYu@OYOg@e@qAS_@SSEI?IJWBUBWCQQSQ@GCg@k@Q_@Qq@QUOGa@C]Km@K[IiB[q@O{Cc@QMQ[Me@CSHmBFo@D}@Fq@TcB^{@b@aBZwCReAReDHs@f@mCDKDB@HL|DPxBFdBP`CDfAFx@IlC?TBJRXF\Vf@Vt@Tj@TbAvAfED`AFV`@r@f@h@HBLEPHJEFM^}@La@l@mAx@oBLc@L{@Te@HIJEF@d@h@T@V`@z@z@`@Zt@r@z@`ARJJGHOHEFGf@iA`@uAHm@ZmAh@yAZcBJSNOFAXJZR\Z^t@DRJlA@r@CPStAs@`E_@`AS|Ac@`A@VAb@T`AHn@Bx@?vHIJi@BaAKqBGY@ODKFAH
9973722272,Walk,Amersham on the Hill,1405.9,962,962,9.4,2023-08-19 06:11:46+00:00,2023-08-19T07:11:46Z,"[51.68059324845672, -0.591565640643239]",,122.0,179.0,156.8,147.4,1.461,2.244,,,,(GMT+00:00) Europe/London,uzlzHhprB?zBDXAd@a@hFGdBArADn@LlAEfAGvC@\F`@BJLNBFLpDRzB?v@NbCJdA@p@Hz@E~AEr@@PBJLJHNjAdDf@lBh@xAJ`@N^AVFf@\~@HL`@\LHLAFHB`@IlAFVh@~@bBjDbBtBVRT`@Tl@T\PNNDP@j@Kt@?\D\BH@@D
9973722286,Run,Amersham on the Hill,5010.2,1678,1678,18.6,2023-08-19 05:43:22+00:00,2023-08-19T06:43:22Z,"[51.67610004544258, -0.6076083518564701]",,167.3,189.0,168.9,147.4,2.986,4.549,,,,(GMT+00:00) Europe/London,s~kzHptuBICSFKWqACQ@QV]?s@LU@eCn@QHGXO[SLuBn@cB\SLoATQJQTSCc@Fy@TSBe@JUJw@r@_@d@KXu@z@M\_@~JKz@K|FL|C?b@C^Kv@[tAWz@Wh@a@~AgAxCI^Cb@@`@`@b@LXF^LX\h@d@d@d@Ph@Bz@b@Xp@D\Bb@E`@JbAJZp@`ALTR`AB\e@dDCjCGZIZOVQBSEg@SkA_ASK}AoAQIsBaBSKyCgCw@i@MYA_@~@yB?c@]s@Yu@]q@K[Y{AMgD@gBBc@?gCFc@LY`Bi@RDJZE^SVKXo@z@]p@Ox@Ab@GZC`@FhBNdBLXRt@NTVr@Xl@h@HLUH[JUJ_@RQL[Fa@Tq@x@iB^wAXm@j@oBXw@Pw@Xu@ZuATs@NaAB_@B_@CgAG_@CcA@g@LmD@_AB]?a@HaA@_@L}@AgADa@BgALcAOQHkAPmG@aAC[Ba@A_BBc@CaCB_@A]BaB@sFCiELWAa@MUI_@H]Aa@FyANeCFc@Pw@x@eCN}@F_AZgBPsDrAoHF}AA]Ka@YyBOgB?i@D_APwBHcB?aAC_ABwB
